Price,Area,City,No. of Bedrooms,Resale,24X7Security,CarParking,School,Hospital
7500000,1406,Hyderabad,3,0,0,0,0,0
6140000,1545,Hyderabad,3,0,0,0,0,0
10500000,1495,Hyderabad,3,0,1,1,0,0
7200000,1300,Hyderabad,3,1,0,0,0,0
4600000,1200,Hyderabad,2,0,0,0,0,0
10400000,1450,Hyderabad,3,1,0,0,0,0
9500000,1450,Hyderabad,3,1,0,0,0,0
9942000,1912,Hyderabad,3,0,0,1,0,0
9250000,1850,Hyderabad,3,0,0,0,0,0
4500000,1300,Hyderabad,3,0,0,0,0,0
9600000,1674,Hyderabad,3,1,1,1,0,0
8600000,1242,Hyderabad,3,1,0,0,0,0
2700000,850,Hyderabad,2,1,0,0,0,0
6600000,1895,Hyderabad,3,1,1,1,0,0
8589000,1636,Hyderabad,3,0,1,1,0,0
5500000,1076,Hyderabad,2,1,0,0,0,0
3200000,1080,Hyderabad,2,1,0,0,0,0
20500000,2100,Hyderabad,3,1,0,0,0,0
6300000,1265,Hyderabad,2,0,0,0,0,0
6400000,1300,Hyderabad,3,0,0,0,0,0
4988000,1089,Hyderabad,2,0,0,0,0,0
10500000,1400,Hyderabad,2,0,0,0,0,0
4300000,850,Hyderabad,2,0,0,0,0,0
3900000,1100,Hyderabad,2,0,0,0,0,0
5500000,1700,Hyderabad,3,1,0,0,0,0
10300000,2150,Hyderabad,3,0,1,1,0,0
6600000,1195,Hyderabad,2,1,0,0,0,0
6500000,1105,Hyderabad,2,0,0,0,0,0
5784000,1205,Hyderabad,2,0,1,1,0,0
5500000,1250,Hyderabad,3,0,0,0,0,0
6700000,1340,Hyderabad,2,0,0,1,0,0
3000000,950,Hyderabad,2,0,0,0,0,0
4700000,1100,Hyderabad,2,0,0,0,0,0
15000000,1908,Hyderabad,3,0,0,0,0,0
7872000,1675,Hyderabad,3,0,1,0,0,0
7500000,1420,Hyderabad,3,0,0,0,0,0
8903000,1535,Hyderabad,3,0,1,1,0,0
3200000,910,Hyderabad,2,0,0,0,0,0
5600000,1325,Hyderabad,3,1,0,0,0,0
11000000,1717,Hyderabad,3,0,0,0,0,0
12000000,2400,Hyderabad,3,1,0,0,0,0
6900000,1150,Hyderabad,2,0,0,0,0,0
3900000,1000,Hyderabad,3,0,0,0,0,0
3999000,1200,Hyderabad,2,0,0,0,0,0
4460000,1040,Hyderabad,2,0,0,0,0,0
7298999,1181,Hyderabad,2,0,0,0,0,0
10500000,2100,Hyderabad,3,0,0,0,0,0
12000000,1550,Hyderabad,3,0,1,0,0,0
7700000,1280,Hyderabad,3,0,0,0,0,0
12400000,1945,Hyderabad,3,0,0,0,0,0
28200000,3500,Hyderabad,4,1,1,1,0,0
3700000,1000,Hyderabad,2,1,1,1,0,0
8000000,1200,Hyderabad,2,1,0,0,0,0
17700000,2729,Hyderabad,4,0,0,0,0,0
6998999,1500,Hyderabad,3,0,0,0,0,0
19400000,2165,Hyderabad,3,0,0,1,0,0
3000000,1050,Hyderabad,2,1,0,0,0,0
2999000,1150,Hyderabad,2,0,0,0,0,0
8500000,1822,Hyderabad,3,1,0,0,0,0
6500000,1270,Hyderabad,1,0,0,0,0,0
4500000,1300,Hyderabad,1,1,0,0,0,0
8500000,1600,Hyderabad,3,1,0,0,0,0
14500000,1818,Hyderabad,3,1,1,1,0,0
8000000,1282,Hyderabad,2,0,0,0,0,0
8600000,1830,Hyderabad,3,0,0,0,0,0
9073000,1815,Hyderabad,3,0,1,1,0,0
6700000,1400,Hyderabad,1,0,0,0,0,0
6344000,1220,Hyderabad,2,0,1,1,0,0
8580000,1650,Hyderabad,3,0,1,1,0,0
8736000,1680,Hyderabad,3,0,1,1,0,0
8086000,1555,Hyderabad,3,0,1,1,0,0
8762000,1685,Hyderabad,3,0,1,1,0,0
7904000,1520,Hyderabad,3,0,1,1,0,0
6370000,1225,Hyderabad,2,0,1,1,0,0
9334000,1795,Hyderabad,3,0,1,1,0,0
7462000,1435,Hyderabad,2,0,1,1,0,0
7436000,1430,Hyderabad,2,0,1,1,0,0
6578000,1265,Hyderabad,2,0,1,1,0,0
10400000,2080,Hyderabad,3,0,1,1,0,0
10400000,2092,Hyderabad,3,0,1,1,0,0
6850000,1370,Hyderabad,2,0,1,1,0,0
11100000,2232,Hyderabad,3,0,1,1,0,0
10300000,2063,Hyderabad,3,0,1,1,0,0
7000000,1400,Hyderabad,2,0,1,1,0,0
9325000,1865,Hyderabad,3,0,1,1,0,0
11299999,2270,Hyderabad,3,0,1,1,0,0
9480000,1896,Hyderabad,3,0,1,1,0,0
25600000,3031,Hyderabad,4,0,1,1,0,0
8510000,1702,Hyderabad,3,0,0,0,0,0
6750000,1350,Hyderabad,2,0,0,0,0,0
7625000,1525,Hyderabad,3,0,0,0,0,0
6125000,1225,Hyderabad,2,0,0,0,0,0
8640000,1728,Hyderabad,3,0,0,0,0,0
8625000,1725,Hyderabad,3,0,0,0,0,0
6500000,1300,Hyderabad,2,0,0,0,0,0
8000000,1600,Hyderabad,3,0,0,0,0,0
6000000,1200,Hyderabad,2,0,0,0,0,0
9900000,1640,Hyderabad,3,1,0,0,0,0
8234999,1830,Hyderabad,3,0,0,0,0,0
8256999,1835,Hyderabad,3,0,0,0,0,0
7100000,1570,Hyderabad,3,0,1,0,0,0
9900000,1570,Hyderabad,3,0,1,0,0,0
9900000,2240,Hyderabad,3,0,1,0,0,0
9900000,2240,Hyderabad,3,0,1,0,0,0
16000000,1895,Hyderabad,3,0,0,1,0,0
8000000,1600,Hyderabad,3,1,0,0,0,0
5654000,1140,Hyderabad,2,0,0,1,0,0
5704000,1150,Hyderabad,2,0,0,1,0,0
7588000,1530,Hyderabad,3,0,0,1,0,0
5999000,1230,Hyderabad,2,0,0,0,0,0
6000000,1300,Hyderabad,2,0,0,0,0,0
3148000,1050,Hyderabad,2,0,0,0,0,0
6325000,1665,Hyderabad,3,0,0,0,0,0
4748000,1250,Hyderabad,2,0,0,0,0,0
4748000,1250,Hyderabad,2,0,0,0,0,0
8168000,1900,Hyderabad,3,0,0,0,0,0
8168000,1900,Hyderabad,3,0,0,0,0,0
7802000,1815,Hyderabad,2,0,0,0,0,0
5373000,1250,Hyderabad,2,0,0,0,0,0
7400000,1530,Hyderabad,3,0,0,0,0,0
7400000,1530,Hyderabad,3,0,0,0,0,0
8903000,1535,Hyderabad,3,0,1,1,0,0
20200000,3380,Hyderabad,4,0,1,1,0,0
20200000,3380,Hyderabad,4,0,1,1,0,0
10800000,1875,Hyderabad,3,0,1,1,0,0
10800000,1875,Hyderabad,3,0,1,1,0,0
15200000,2540,Hyderabad,3,0,1,1,0,0
15200000,2540,Hyderabad,3,0,1,1,0,0
15200000,2630,Hyderabad,4,0,1,1,0,0
15200000,2630,Hyderabad,4,0,1,1,0,0
47200000,4500,Hyderabad,4,1,0,0,0,0
21500000,3380,Hyderabad,4,1,1,1,0,0
12000000,2700,Hyderabad,3,0,0,0,0,0
10000000,1792,Hyderabad,3,1,1,1,0,0
9500000,1673,Hyderabad,3,1,1,1,0,0
10700000,1665,Hyderabad,3,0,1,1,0,0
10700000,1640,Hyderabad,3,0,1,1,0,0
10700000,1640,Hyderabad,3,0,1,1,0,0
11500000,1665,Hyderabad,3,1,0,0,0,0
17000000,2200,Hyderabad,3,1,0,0,0,0
4000000,1170,Hyderabad,2,0,0,0,0,0
4000000,1170,Hyderabad,2,0,0,0,0,0
8500000,1600,Hyderabad,4,1,0,0,0,0
8600000,1644,Hyderabad,3,0,0,0,0,0
8599000,1644,Hyderabad,3,0,0,0,0,0
8898000,1687,Hyderabad,3,0,0,0,0,0
8599000,1650,Hyderabad,3,0,0,0,0,0
8298999,1554,Hyderabad,3,0,0,0,0,0
8598000,1684,Hyderabad,3,0,0,0,0,0
8898000,1650,Hyderabad,3,0,0,0,0,0
4200000,970,Hyderabad,2,0,0,0,0,0
4200000,970,Hyderabad,2,0,0,0,0,0
10000000,2240,Hyderabad,3,1,1,0,0,0
3900000,1050,Hyderabad,3,0,0,0,0,0
10000000,2240,Hyderabad,3,0,0,0,0,0
9900000,2240,Hyderabad,3,0,1,0,0,0
4760000,1190,Hyderabad,2,0,0,0,0,0
4400000,1100,Hyderabad,2,0,0,0,0,0
7840000,1600,Hyderabad,3,0,0,0,0,0
4760000,1190,Hyderabad,2,0,0,0,0,0
4400000,1100,Hyderabad,2,0,0,0,0,0
8600000,1150,Hyderabad,2,0,0,0,0,0
6800000,1415,Hyderabad,3,0,0,0,0,0
18500000,1980,Hyderabad,3,0,0,0,0,0
4400000,1100,Hyderabad,2,0,0,0,0,0
4760000,1190,Hyderabad,2,0,0,0,0,0
4400000,1100,Hyderabad,2,0,0,0,0,0
7840000,1600,Hyderabad,3,0,0,0,0,0
4760000,1190,Hyderabad,2,0,0,0,0,0
4400000,1100,Hyderabad,2,0,0,0,0,0
8600000,1150,Hyderabad,2,0,0,0,0,0
5880000,1200,Hyderabad,2,0,0,0,0,0
4400000,1100,Hyderabad,2,0,0,0,0,0
4760000,1190,Hyderabad,2,0,0,0,0,0
4760000,1190,Hyderabad,2,0,0,0,0,0
4760000,1190,Hyderabad,2,0,0,0,0,0
4400000,1100,Hyderabad,2,0,0,0,0,0
4760000,1190,Hyderabad,2,0,0,0,0,0
4760000,1190,Hyderabad,2,0,0,0,0,0
4760000,1190,Hyderabad,2,0,0,0,0,0
9906000,1905,Hyderabad,3,0,1,1,1,1
10000000,1925,Hyderabad,3,0,1,1,1,1
6187000,1482,Hyderabad,3,0,0,0,0,0
3800000,1100,Hyderabad,2,0,0,0,0,0
11500000,1800,Hyderabad,3,0,0,0,0,0
12000000,1800,Hyderabad,3,0,0,0,0,0
4641000,1105,Hyderabad,2,0,0,0,0,0
4641000,1105,Hyderabad,2,0,0,0,0,0
4641000,1105,Hyderabad,2,0,0,0,0,0
18500000,1980,Hyderabad,3,0,0,0,0,0
8600000,1150,Hyderabad,2,0,0,0,0,0
6800000,1415,Hyderabad,3,0,0,0,0,0
11100000,1730,Hyderabad,3,0,0,0,0,0
4400000,1100,Hyderabad,2,0,0,0,0,0
4400000,1100,Hyderabad,2,0,0,0,0,0
4400000,1100,Hyderabad,2,0,0,0,0,0
4400000,1100,Hyderabad,2,0,0,0,0,0
4400000,1100,Hyderabad,2,0,0,0,0,0
4400000,1100,Hyderabad,2,0,0,0,0,0
4400000,1100,Hyderabad,2,0,0,0,0,0
4400000,1100,Hyderabad,2,0,0,0,0,0
4400000,1100,Hyderabad,2,0,0,0,0,0
4400000,1100,Hyderabad,2,0,0,0,0,0
4641000,1105,Hyderabad,2,0,0,0,0,0
4400000,1100,Hyderabad,2,0,0,0,0,0
4641000,1105,Hyderabad,2,0,0,0,0,0
4641000,1105,Hyderabad,2,0,0,0,0,0
4641000,1105,Hyderabad,2,0,0,0,0,0
4641000,1105,Hyderabad,2,0,0,0,0,0
4641000,1105,Hyderabad,2,0,0,0,0,0
7847000,1165,Hyderabad,2,0,1,1,0,0
4400000,1100,Hyderabad,2,0,0,0,0,0
10000000,1535,Hyderabad,3,0,1,1,0,0
4400000,1110,Hyderabad,2,0,0,0,0,0
4641000,1105,Hyderabad,2,0,0,0,0,0
9900000,2240,Hyderabad,3,0,1,0,0,0
6500000,1278,Hyderabad,2,0,0,0,0,0
7500000,1406,Hyderabad,3,0,0,0,0,0
6500000,1190,Hyderabad,2,0,0,0,0,0
5300000,1215,Hyderabad,2,0,0,0,0,0
4641000,1105,Hyderabad,2,0,0,0,0,0
8600000,1150,Hyderabad,2,0,0,0,0,0
4641000,1105,Hyderabad,2,0,0,0,0,0
4641000,1105,Hyderabad,2,0,0,0,0,0
10700000,1770,Hyderabad,3,0,1,1,0,0
4840000,1210,Hyderabad,2,0,0,0,0,0
4542000,1010,Hyderabad,2,0,0,0,0,0
8100000,1620,Hyderabad,3,0,0,0,0,0
6931000,1555,Hyderabad,3,0,0,0,0,0
7098999,1190,Hyderabad,2,0,0,0,0,0
11100000,1730,Hyderabad,3,0,0,0,0,0
7240000,1165,Hyderabad,2,0,1,1,0,0
10000000,1670,Hyderabad,3,0,0,0,0,0
13000000,1350,Hyderabad,3,1,1,1,1,1
43000000,4780,Hyderabad,4,1,0,0,0,0
8900000,1836,Hyderabad,3,0,0,0,0,0
15000000,1970,Hyderabad,3,1,0,0,0,0
15000000,1970,Hyderabad,3,1,0,0,0,0
12000000,2000,Hyderabad,3,0,1,1,0,0
12000000,2000,Hyderabad,3,0,1,1,0,0
12000000,2000,Hyderabad,3,0,1,1,0,0
12000000,2000,Hyderabad,3,0,1,1,0,0
12000000,2000,Hyderabad,3,0,1,1,0,0
12000000,2000,Hyderabad,3,0,1,1,0,0
7744000,1210,Hyderabad,2,0,1,1,0,0
9760000,1535,Hyderabad,3,0,1,1,0,0
8500000,1315,Hyderabad,2,0,1,1,0,0
2500000,680,Hyderabad,1,0,0,0,0,0
8200000,1200,Hyderabad,2,0,0,0,0,0
8200000,1200,Hyderabad,2,0,0,0,0,0
8200000,1200,Hyderabad,2,0,0,0,0,0
8200000,1200,Hyderabad,2,0,0,0,0,0
8200000,1200,Hyderabad,2,0,0,0,0,0
8200000,1200,Hyderabad,2,0,0,0,0,0
8200000,1200,Hyderabad,2,0,0,0,0,0
8200000,1200,Hyderabad,2,0,0,0,0,0
8200000,1200,Hyderabad,2,0,0,0,0,0
8200000,1200,Hyderabad,2,0,0,0,0,0
10800000,1735,Hyderabad,3,0,0,0,0,0
27500000,2500,Hyderabad,3,1,0,0,0,0
35000000,3959,Hyderabad,4,1,0,0,0,0
9822000,1889,Hyderabad,3,0,1,1,0,0
30000000,4500,Hyderabad,4,1,0,0,0,0
27500000,2500,Hyderabad,3,1,0,0,0,0
4880000,1220,Hyderabad,2,0,0,0,0,0
9984000,1920,Hyderabad,3,0,0,0,0,0
25000000,2700,Hyderabad,4,1,0,0,0,0
5400000,1300,Hyderabad,3,1,0,0,0,0
15000000,2100,Hyderabad,3,1,0,0,0,0
9984000,1920,Hyderabad,3,0,0,0,0,0
10000000,1925,Hyderabad,3,0,0,0,0,0
11800000,1885,Hyderabad,2,0,1,1,0,0
4542000,1010,Hyderabad,2,0,0,0,0,0
10900000,1695,Hyderabad,3,0,0,0,0,0
7098999,1090,Hyderabad,2,0,0,0,0,0
46000000,3100,Hyderabad,3,0,0,0,0,0
19800000,2200,Hyderabad,3,0,0,0,0,0
7600000,1521,Hyderabad,3,0,0,0,0,0
18000000,2490,Hyderabad,3,1,0,0,0,0
12300000,1675,Hyderabad,3,0,1,1,0,0
12300000,1675,Hyderabad,3,0,1,1,0,0
5500000,1260,Hyderabad,2,0,0,0,0,0
3700000,1105,Hyderabad,2,0,0,0,0,0
12300000,1675,Hyderabad,3,0,1,1,0,0
12300000,1675,Hyderabad,3,0,1,1,0,0
12300000,1675,Hyderabad,3,0,1,1,0,0
12300000,1675,Hyderabad,3,0,1,1,0,0
4850000,1200,Hyderabad,2,0,0,0,0,0
4850000,1200,Hyderabad,2,0,0,0,0,0
4850000,1200,Hyderabad,2,0,0,0,0,0
4850000,1200,Hyderabad,2,0,0,0,0,0
4850000,1200,Hyderabad,2,0,0,0,0,0
4500000,900,Hyderabad,2,1,0,0,0,0
7600000,1710,Hyderabad,3,1,0,0,0,0
8600000,1242,Hyderabad,3,1,0,0,0,0
7500000,1705,Hyderabad,3,1,0,0,0,0
5200000,1050,Hyderabad,2,1,0,0,0,0
5700000,1225,Hyderabad,3,0,0,0,0,0
6931000,1555,Hyderabad,3,0,0,0,0,0
10800000,1675,Hyderabad,3,0,0,0,0,0
10900000,1695,Hyderabad,3,0,0,0,0,0
13000000,1945,Hyderabad,3,0,1,0,0,0
3650000,1000,Hyderabad,2,0,0,0,0,0
8625000,1150,Hyderabad,2,0,0,0,0,0
7500000,1330,Hyderabad,3,0,0,0,0,0
20000000,2250,Hyderabad,3,1,0,0,0,0
10000000,2240,Hyderabad,3,0,0,0,0,0
45000000,4500,Hyderabad,4,0,1,1,0,0
45000000,4500,Hyderabad,4,0,1,1,0,0
45000000,4500,Hyderabad,4,0,1,1,0,0
3300000,800,Hyderabad,2,0,0,0,0,0
3300000,800,Hyderabad,2,0,0,0,0,0
3300000,800,Hyderabad,2,0,0,0,0,0
3300000,800,Hyderabad,2,0,0,0,0,0
5635000,1150,Hyderabad,2,0,0,0,0,0
12900000,1840,Hyderabad,3,0,0,0,0,0
7800000,1560,Hyderabad,3,0,0,0,0,0
6300000,1300,Hyderabad,2,0,0,0,0,0
28000000,3200,Hyderabad,4,1,0,0,0,0
30000000,2950,Hyderabad,3,1,0,0,0,0
30000000,2950,Hyderabad,3,1,0,0,0,0
12500000,1699,Hyderabad,4,0,0,0,0,0
6583000,1254,Hyderabad,2,0,1,1,0,0
8977000,1710,Hyderabad,3,0,1,1,0,0
35500000,4067,Hyderabad,4,1,1,1,0,0
7500000,1320,Hyderabad,2,1,1,0,0,0
7000000,1605,Hyderabad,3,0,0,0,0,0
14500000,2120,Hyderabad,3,1,0,0,0,0
13500000,1860,Hyderabad,3,0,1,1,0,0
13500000,1860,Hyderabad,3,0,0,0,0,0
2700000,1050,Hyderabad,2,0,0,0,0,0
8990000,1550,Hyderabad,3,0,0,0,0,0
27500000,3090,Hyderabad,4,0,1,1,0,0
66400000,6718,Hyderabad,5,0,1,1,0,0
7500000,1195,Hyderabad,2,0,1,1,0,0
5700000,1230,Hyderabad,3,1,0,0,0,0
33000000,2956,Hyderabad,4,1,0,0,0,0
33000000,2956,Hyderabad,4,1,0,0,0,0
5500000,1076,Hyderabad,2,1,0,0,0,0
3578000,842,Hyderabad,2,0,0,0,0,0
7800000,1200,Hyderabad,2,1,0,0,0,0
52000000,4500,Hyderabad,4,1,0,0,0,0
52000000,4500,Hyderabad,4,1,0,0,0,0
40000000,3600,Hyderabad,4,1,0,0,0,0
40000000,3600,Hyderabad,4,1,0,0,0,0
36700000,3500,Hyderabad,3,0,0,0,0,0
36700000,3500,Hyderabad,3,0,0,0,0,0
8600000,1150,Hyderabad,2,0,0,0,0,0
9000000,1150,Hyderabad,2,0,0,0,0,0
9000000,1150,Hyderabad,2,0,0,0,0,0
9877000,1245,Hyderabad,2,0,1,1,1,1
13000000,1600,Hyderabad,3,0,1,1,1,1
18800000,2270,Hyderabad,3,0,1,1,1,1
6000000,1200,Hyderabad,2,1,0,1,0,0
7000000,1418,Hyderabad,3,0,0,0,0,0
9984000,1920,Hyderabad,3,0,0,0,0,0
10000000,1925,Hyderabad,3,0,0,0,0,0
9906000,1905,Hyderabad,3,0,0,0,0,0
5500000,850,Hyderabad,2,1,0,0,0,0
8000000,1940,Hyderabad,3,0,0,0,0,0
8600000,1150,Hyderabad,2,0,0,0,0,0
11100000,1730,Hyderabad,3,0,0,0,0,0
11100000,1730,Hyderabad,3,0,0,0,0,0
4200000,1050,Hyderabad,2,1,0,0,0,0
4200000,1050,Hyderabad,2,1,0,0,0,0
14500000,1908,Hyderabad,3,0,0,0,0,0
7098999,1090,Hyderabad,2,0,0,0,0,0
8953000,1905,Hyderabad,3,0,1,0,0,0
7872000,1675,Hyderabad,3,0,1,0,0,0
7590000,1615,Hyderabad,3,0,1,0,0,0
5452000,1160,Hyderabad,2,0,1,0,0,0
8459000,1800,Hyderabad,3,0,1,0,0,0
5640000,1200,Hyderabad,2,0,1,0,0,0
4500000,908,Hyderabad,2,0,0,0,0,0
4830000,1100,Hyderabad,2,0,0,0,0,0
4900000,1380,Hyderabad,2,0,0,0,0,0
6000000,970,Hyderabad,2,0,0,0,0,0
4500000,1160,Hyderabad,2,0,0,0,0,0
4299000,840,Hyderabad,2,0,0,0,0,0
4750000,1100,Hyderabad,2,0,0,0,0,0
4200000,931,Hyderabad,2,0,0,1,0,0
12500000,1670,Hyderabad,3,0,0,0,0,0
12000000,2000,Hyderabad,3,0,1,1,0,0
12000000,2000,Hyderabad,3,1,1,1,0,0
8298999,1554,Hyderabad,3,0,0,0,0,0
8898000,1650,Hyderabad,3,0,0,0,0,0
7998999,1554,Hyderabad,3,0,0,0,0,0
23000000,1900,Hyderabad,3,0,1,1,0,0
22900000,1900,Hyderabad,3,0,1,1,0,0
23000000,1900,Hyderabad,3,0,0,0,0,0
23000000,1900,Hyderabad,3,0,1,1,0,0
14500000,1740,Hyderabad,3,0,1,1,0,0
20000000,3145,Hyderabad,3,1,1,0,0,0
2800000,963,Hyderabad,2,1,0,0,0,0
3500000,909,Hyderabad,3,0,0,0,0,0
3500000,850,Hyderabad,2,0,0,0,0,0
4700000,950,Hyderabad,2,0,0,0,0,0
11399999,1730,Hyderabad,3,0,0,0,0,0
6931000,1555,Hyderabad,3,0,0,0,0,0
5256000,1180,Hyderabad,2,0,0,0,0,0
11100000,1675,Hyderabad,3,0,0,0,0,0
5300000,845,Hyderabad,2,0,0,0,0,0
4500000,1100,Hyderabad,2,0,0,0,0,0
14600000,1905,Hyderabad,3,0,0,0,0,0
11200000,1460,Hyderabad,3,0,0,0,0,0
11200000,1460,Hyderabad,3,0,0,0,0,0
4200000,1175,Hyderabad,2,1,0,0,0,0
4900000,1360,Hyderabad,2,0,1,1,0,0
7554000,1220,Hyderabad,2,0,1,1,0,0
11399999,1885,Hyderabad,3,0,1,1,0,0
7240000,1165,Hyderabad,2,0,1,1,0,0
9600000,1295,Hyderabad,2,0,0,0,0,0
9600000,1295,Hyderabad,2,0,0,0,0,0
9600000,1295,Hyderabad,2,0,0,0,0,0
9600000,1295,Hyderabad,2,0,0,0,0,0
9600000,1295,Hyderabad,2,0,0,0,0,0
10200000,1295,Hyderabad,2,0,0,0,0,0
12500000,1670,Hyderabad,3,0,0,0,0,0
12500000,1670,Hyderabad,3,0,0,0,0,0
4800000,1200,Hyderabad,2,0,0,0,0,0
4800000,1200,Hyderabad,2,0,0,0,0,0
12500000,1670,Hyderabad,3,0,0,0,0,0
16800000,2460,Hyderabad,3,0,1,1,0,0
4000000,1040,Hyderabad,2,0,0,0,0,0
3600000,1107,Hyderabad,2,0,0,0,0,0
6000000,1050,Hyderabad,2,0,0,0,0,0
6000000,1050,Hyderabad,2,0,0,0,0,0
33300000,2900,Hyderabad,3,0,0,0,0,0
8625000,1150,Hyderabad,2,0,0,0,0,0
4000000,1040,Hyderabad,2,0,0,0,0,0
3600000,1107,Hyderabad,2,0,0,0,0,0
4000000,850,Hyderabad,2,0,0,0,0,0
6000000,1050,Hyderabad,2,0,0,0,0,0
6000000,1050,Hyderabad,2,0,0,0,0,0
3500000,1080,Hyderabad,2,0,0,0,0,0
3500000,1080,Hyderabad,2,0,0,0,0,0
2300000,1100,Hyderabad,2,0,0,0,0,0
2300000,1100,Hyderabad,2,0,0,0,0,0
12000000,1745,Hyderabad,3,1,0,1,0,0
2500000,970,Hyderabad,2,0,0,0,0,0
5777000,1090,Hyderabad,2,0,1,1,0,0
7605000,1435,Hyderabad,3,0,0,0,0,0
2600000,684,Hyderabad,1,0,0,0,0,0
4500000,1040,Hyderabad,2,0,0,0,0,0
3000000,850,Hyderabad,2,0,0,0,0,0
3200000,1150,Hyderabad,2,0,0,0,0,0
7000000,1605,Hyderabad,3,0,0,0,0,0
3000000,850,Hyderabad,2,0,0,0,0,0
3200000,1150,Hyderabad,2,0,0,0,0,0
7000000,1605,Hyderabad,3,0,0,0,0,0
5500000,1000,Hyderabad,2,0,0,0,0,0
5777000,1090,Hyderabad,2,0,1,1,0,0
7605000,1435,Hyderabad,3,0,0,0,0,0
8502000,1635,Hyderabad,3,0,1,1,0,0
8242000,1585,Hyderabad,3,0,1,1,0,0
11000000,1730,Hyderabad,3,0,1,1,0,0
10700000,1665,Hyderabad,3,0,1,1,0,0
9240000,1482,Hyderabad,2,0,1,1,0,0
8800000,1385,Hyderabad,2,0,1,1,0,0
3400000,1000,Hyderabad,2,0,0,0,0,0
9500000,1035,Hyderabad,2,1,1,1,0,0
4700000,1250,Hyderabad,2,0,0,0,0,0
4700000,1250,Hyderabad,2,0,0,0,0,0
5000000,1000,Hyderabad,2,0,0,1,0,0
4788000,1260,Hyderabad,2,0,0,0,0,0
2880000,950,Hyderabad,2,0,0,0,0,0
5500000,850,Hyderabad,2,1,0,0,0,0
8500000,1260,Hyderabad,2,1,1,1,0,0
5500000,1050,Hyderabad,2,0,0,0,0,0
4400000,1250,Hyderabad,2,0,1,1,0,0
14000000,1908,Hyderabad,3,0,0,0,0,0
6931000,1555,Hyderabad,3,0,0,0,0,0
12000000,1720,Hyderabad,3,0,1,1,0,0
7540000,1327,Hyderabad,3,0,1,1,0,0
6290000,1110,Hyderabad,3,0,1,1,0,0
5290000,941,Hyderabad,2,0,1,1,0,0
5580000,1200,Hyderabad,2,0,0,0,0,0
4300000,1200,Hyderabad,1,0,0,0,0,0
5560000,1390,Hyderabad,3,0,0,0,0,0
2400000,540,Hyderabad,1,0,0,0,0,0
12500000,1717,Hyderabad,2,0,1,1,0,0
12500000,1717,Hyderabad,2,0,1,1,0,0
3570000,900,Hyderabad,2,0,0,0,0,0
